StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[Rectangle]Hit	AOI[Rectangle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1217	52:27.9				Unclassified	2465					69									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1233	52:27.9				Unclassified	2465					70									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1250	52:27.9				Unclassified	2465					71									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1267	52:27.9				Unclassified	2465					72									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1283	52:27.9				Unclassified	2465					73									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1301	52:28.0				Unclassified	2465					74									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1318	52:28.0				Unclassified	2465					75									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1335	52:28.0				Unclassified	2465					76									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1350	52:28.0				Unclassified	2465					77									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1367	52:28.0				Unclassified	2465					78									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1383	52:28.0				Unclassified	2465					79									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1400	52:28.1				Unclassified	2465					80									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1417	52:28.1				Unclassified	2465					81									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1433	52:28.1				Unclassified	2465					82									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1450	52:28.1				Unclassified	2465					83									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1468	52:28.1				Unclassified	2465					84									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1485	52:28.1				Unclassified	2465					85									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1500	52:28.2				Unclassified	2465					86									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1516	52:28.2				Unclassified	2465					87									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1533	52:28.2				Unclassified	2465					88									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1550	52:28.2				Unclassified	2465					89									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1566	52:28.2				Unclassified	2465					90									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1583	52:28.2				Unclassified	2465					91									4	4
