"","ParticipantName","Trial","Condition","Age","MCDI_Total","MCDI_Nouns","MCDI_Verbs","KnownVerb","KnownAnimal","Verb","y","N","elog","wts","Proportion","ArcSin"
"101","ANCAT80","UnfamiliarLemur","Informative",19.73,"23","12","1",1,0,"Eat",297,325,2.34551013771108,0.0384490638360607,0.913846153846154,1.2728896273143
"102","ANCAT75","UnfamiliarLemur","Informative",19.73,"27","14","1",1,0,"Eat",308,322,3.05757319391891,0.0722070083272788,0.956521739130435,1.36074058772366
"103","ANCAT88","UnfamiliarLemur","Informative",18.44,"27","16","1",1,0,"Eat",163,217,1.09861228866811,0.0244648318042813,0.751152073732719,1.04852887623937
"104","ANCAT74","UnfamiliarLemur","Informative",18.87,"25","17","1",1,0,"Eat",248,283,1.94591014905531,0.0321931589537223,0.876325088339223,1.21143712511901
"105","ANCAT60","UnfamiliarLemur","Informative",21.47,"41","24","1",1,0,"Eat",215,319,0.723773838138937,0.014209749220129,0.67398119122257,0.963096556174287
"106","ANCAT39","UnfamiliarLemur","Informative",21.4,"41","24","2",1,0,"Eat",297,297,6.38856140554563,2.00336134453782,1,1.5707963267949
"107","ANCAT82","UnfamiliarLemur","Informative",19.63,"50","29","4",1,0,"Eat",171,200,1.76019300326022,0.0397292088748332,0.855,1.18014726807053
"108","ANCAT84","UnfamiliarLemur","Informative",21.8,"59","36","5",1,0,"Eat",166,330,0.0120847392150718,0.0120850333616291,0.503030303030303,0.788428484979041
"109","ANCAT18","UnfamiliarLemur","Informative",18.02,"55","35","6",1,0,"Eat",109,191,0.28312625591592,0.0212536322125363,0.570680628272251,0.856316335902334
"110","ANCAT139","UnfamiliarLemur","Informative",21.86,"47","29","8",1,0,"Eat",66,144,-0.165896677126554,0.0277764474881471,0.458333333333333,0.743683120092141
"111","ANCAT23","UnfamiliarLizard","Informative",18.25,"7","3","0",0,0,"Cry",199,299,0.685656508830788,0.0149627800845397,0.665551839464883,0.954134658136595
"112","ANCAT91","UnfamiliarLizard","Neutral",18.41,"12","5","0",0,0,"Cry",85,328,-1.04660056657993,0.0158026826134467,0.259146341463415,0.534097200956853
"113","ANCAT86","UnfamiliarLizard","Neutral",18.77,"16","6","0",0,0,"Cry",111,194,0.289177959043364,0.0209446577696625,0.572164948453608,0.857816036118619
"114","ANCAT55","UnfamiliarLizard","Neutral",19.63,"13","7","0",0,0,"Cry",115,248,-0.144830947878456,0.0161486453621285,0.463709677419355,0.749075902445217
"115","ANCAT72","UnfamiliarLizard","Neutral",18.87,"15","7","0",0,0,"Cry",73,251,-0.887303195000903,0.0192076830732293,0.290836653386454,0.569597018500364
"116","ANCAT53","UnfamiliarLizard","Neutral",18.84,"19","9","0",0,0,"Cry",77,150,0.0529925301405104,0.0265086679833224,0.513333333333333,0.798733077483588
"117","ANCAT76","UnfamiliarLizard","Neutral",18.44,"21","11","0",0,0,"Cry",167,292,0.288677592693282,0.0139382767437712,0.571917808219178,0.857566289940348
"118","ANCAT79","UnfamiliarLizard","Neutral",19.53,"21","11","0",0,0,"Cry",101,325,-0.793816908700467,0.0143065597331783,0.310769230769231,0.591331344605251
"119","ANCAT90","UnfamiliarLizard","Neutral",19.59,"25","14","0",0,0,"Cry",122,246,-0.0161946859199806,0.0161953938201787,0.495934959349593,0.781333077963717
"120","ANCAT59","UnfamiliarLizard","Informative",18.41,"31","23","0",0,0,"Cry",322,322,6.46925031679577,2.0031007751938,1,1.5707963267949
"121","ANCAT75","UnfamiliarLizard","Informative",19.73,"27","14","1",0,0,"Cry",196,327,0.401655579691497,0.0126936212618156,0.599388379204893,0.885452970290619
"122","ANCAT81","UnfamiliarLizard","Neutral",18.84,"25","16","1",0,0,"Cry",147,278,0.114821324162055,0.0143842237545917,0.528776978417266,0.81419105263138
"123","ANCAT60","UnfamiliarLizard","Informative",21.47,"41","24","1",0,0,"Cry",262,315,1.59056942812972,0.0225011125945705,0.831746031746032,1.14813643755653
"124","ANCAT64","UnfamiliarLizard","Neutral",18.54,"51","35","1",0,0,"Cry",116,297,-0.44336438069915,0.0140933328604027,0.390572390572391,0.675077617081954
"125","ANCAT77","UnfamiliarLizard","Neutral",21.27,"30","17","2",0,0,"Cry",278,331,1.64973640546538,0.0222822530579372,0.83987915407855,1.15911468877233
"126","ANCAT50","UnfamiliarLizard","Neutral",19.4,"45","26","3",0,0,"Cry",39,327,-1.98839441404108,0.0287826602022684,0.119266055045872,0.352610829973879
"127","ANCAT22","UnfamiliarLizard","Neutral",20.84,"56","35","3",0,0,"Cry",26,82,-0.757095905160219,0.0554349641008516,0.317073170731707,0.598123219834409
"128","ANCAT26","UnfamiliarLizard","Informative",18.31,"10","3","0",1,0,"Cry",144,289,-0.00689657905906033,0.0137932674585905,0.498269896193772,0.783668056138769
"129","ANCAT69","UnfamiliarLizard","Informative",19.27,"21","12","1",1,0,"Cry",302,330,2.36217719019629,0.0383935044222126,0.915151515151515,1.27522376321011
"130","ANCAT80","UnfamiliarLizard","Informative",19.73,"23","12","1",1,0,"Cry",243,314,1.22541949282268,0.0180927901667121,0.773885350318471,1.07524680514546
"131","ANCAT45","UnfamiliarLizard","Informative",21.86,"31","19","1",1,0,"Cry",102,329,-0.797287439812542,0.01415170195658,0.310030395136778,0.590532874804151
"132","ANCAT39","UnfamiliarLizard","Informative",21.4,"41","24","2",1,0,"Cry",299,329,2.28438773394214,0.0361257834095077,0.908814589665654,1.26403869646312
"133","ANCAT18","UnfamiliarLizard","Informative",18.02,"55","35","6",1,0,"Cry",52,198,-1.02621225885954,0.025873557614172,0.262626262626263,0.538059619003239
"134","ANCAT139","UnfamiliarLizard","Informative",21.86,"47","29","8",1,0,"Cry",114,237,-0.0756663330737376,0.0168307904460513,0.481012658227848,0.766406255127804
"135","ANCAT85","UnfamiliarLizard","Neutral",21.7,"25","14","0",0,1,"Cry",24,330,-2.52654463782558,0.0440789692712321,0.0727272727272727,0.273060646698387
"136","ANCAT74","UnfamiliarLizard","Informative",18.87,"25","17","1",0,1,"Cry",195,255,1.17291701438862,0.0216440151339012,0.764705882352941,1.0643516833814
"137","ANCAT58","UnfamiliarLizard","Neutral",19.3,"28","22","1",0,1,"Cry",223,296,1.11212600783483,0.0180797151075195,0.753378378378378,1.05110743238344
"138","ANCAT88","UnfamiliarLizard","Informative",18.44,"27","16","1",1,1,"Cry",158,323,-0.0432166014997823,0.0123514443374918,0.489164086687306,0.774561401691687
"139","ANCAT84","UnfamiliarLizard","Informative",21.8,"59","36","5",1,1,"Cry",221,317,0.83087958114025,0.0148773669867484,0.697160883280757,0.988063013153268
"140","ANCAT91","UnfamiliarRhino","Neutral",18.41,"12","5","0",0,0,"Drink",68,84,1.42347336436164,0.075204600752046,0.80952380952381,1.11916288571536
"141","ANCAT86","UnfamiliarRhino","Neutral",18.77,"16","6","0",0,0,"Drink",274,325,1.67336945327989,0.0230604629777,0.843076923076923,1.16349248966813
"142","ANCAT55","UnfamiliarRhino","Neutral",19.63,"13","7","0",0,0,"Drink",87,260,-0.684538806023345,0.0171922601893783,0.334615384615385,0.616838877944025
"143","ANCAT72","UnfamiliarRhino","Neutral",18.87,"15","7","0",0,0,"Drink",135,277,-0.0503703593889497,0.0143976176603871,0.487364620938628,0.772761439100322
"144","ANCAT53","UnfamiliarRhino","Neutral",18.84,"19","9","0",0,0,"Drink",24,249,-2.21964704139205,0.0452509163310557,0.0963855421686747,0.315677127241995
"145","ANCAT76","UnfamiliarRhino","Neutral",18.44,"21","11","0",0,0,"Drink",72,159,-0.18805223150294,0.0252216748768473,0.452830188679245,0.738158102087739
"146","ANCAT79","UnfamiliarRhino","Neutral",19.53,"21","11","0",0,0,"Drink",54,171,-0.768237631915015,0.0268592621510833,0.315789473684211,0.596743147217574
"147","ANCAT90","UnfamiliarRhino","Neutral",19.59,"25","14","0",0,0,"Drink",117,242,-0.065867424987625,0.0164787657879122,0.483471074380165,0.768866225768537
"148","ANCAT85","UnfamiliarRhino","Neutral",21.7,"25","14","0",0,0,"Drink",213,295,0.950838539328044,0.0168050528706266,0.722033898305085,1.01546495279097
"149","ANCAT59","UnfamiliarRhino","Informative",18.41,"31","23","0",0,0,"Drink",114,313,-0.555239413335624,0.0137461557824693,0.364217252396166,0.647888521971763
"150","ANCAT81","UnfamiliarRhino","Neutral",18.84,"25","16","1",0,0,"Drink",146,255,0.291100879200567,0.0159583586578771,0.572549019607843,0.85820419320689
