"","ParticipantName","Trial","Target","y","N","elog","wts","Proportion","ArcSin"
"47","ANCAT77","FamiliarBottle","Artefact",71,328,-1.28132227040383,0.0178695091316451,0.216463414634146,0.483924123917528
"48","ANCAT79","FamiliarBottle","Artefact",141,253,0.229346495438818,0.0159560266980762,0.557312252964427,0.842836666397901
"49","ANCAT80","FamiliarBottle","Artefact",131,321,-0.370645342948936,0.0128539065696636,0.40809968847352,0.692972384105509
"50","ANCAT81","FamiliarBottle","Artefact",88,318,-0.957248310422819,0.0156378298221748,0.276729559748428,0.553950347364409
"51","ANCAT82","FamiliarBottle","Artefact",134,285,-0.11902142590753,0.0140356043039248,0.470175438596491,0.755555887562891
"52","ANCAT84","FamiliarBottle","Artefact",40,318,-1.92811608525485,0.0282820222975818,0.125786163522013,0.362554095004649
"53","ANCAT85","FamiliarBottle","Artefact",174,306,0.275342096216205,0.0132778288371087,0.568627450980392,0.854242939549563
"54","ANCAT86","FamiliarBottle","Artefact",116,282,-0.357104036414743,0.0145896969931305,0.411347517730496,0.696274488982521
"55","ANCAT90","FamiliarBottle","Artefact",115,322,-0.585860809708905,0.0134772857664424,0.357142857142857,0.640522312679424
"56","ANCAT91","FamiliarBottle","Artefact",45,164,-0.965604045414661,0.0303462228148421,0.274390243902439,0.551332462829635
"57","ANCAT18","FamiliarCow","Animal",145,171,1.70303135361937,0.0446087012902807,0.847953216374269,1.17023883261454
"58","ANCAT23","FamiliarCow","Animal",218,295,1.03650807817634,0.0174798848453532,0.738983050847458,1.03456703064262
"59","ANCAT26","FamiliarCow","Animal",235,291,1.42747027530408,0.0219453995453094,0.807560137457045,1.11666741674002
"60","ANCAT39","FamiliarCow","Animal",288,312,2.46602196839747,0.0442825310366781,0.923076923076923,1.28976142529208
"61","ANCAT45","FamiliarCow","Animal",102,176,0.319063673192949,0.0231789163529219,0.579545454545455,0.865283046389123
"62","ANCAT50","FamiliarCow","Animal",215,246,1.92297336371222,0.0363864029757301,0.873983739837398,1.20789542698205
"63","ANCAT53","FamiliarCow","Animal",195,316,0.475646116644817,0.0133455421889636,0.617088607594937,0.90358424546424
"64","ANCAT55","FamiliarCow","Animal",310,310,6.43133108193348,2.00322061191626,1,1.5707963267949
"65","ANCAT58","FamiliarCow","Animal",288,312,2.46602196839747,0.0442825310366781,0.923076923076923,1.28976142529208
"66","ANCAT59","FamiliarCow","Animal",200,326,0.460571938579049,0.0128926695119908,0.613496932515337,0.899893091863731
"67","ANCAT60","FamiliarCow","Animal",284,324,1.94943127945389,0.0282062965132678,0.876543209876543,1.21176853062221
"68","ANCAT64","FamiliarCow","Animal",288,300,3.1389664416399,0.0834662045060659,0.96,1.36943840600457
"69","ANCAT69","FamiliarCow","Animal",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"70","ANCAT72","FamiliarCow","Animal",249,276,2.20527291051905,0.0403716523957005,0.902173913043478,1.25268666772702
"71","ANCAT74","FamiliarCow","Animal",266,329,1.43433433770725,0.0195003767118228,0.808510638297872,1.11787411039777
"72","ANCAT75","FamiliarCow","Animal",203,320,0.549227671298436,0.0134246432118773,0.634375,0.921445689407104
"73","ANCAT76","FamiliarCow","Animal",196,196,5.97380961186926,2.00508905852417,1,1.5707963267949
"74","ANCAT77","FamiliarCow","Animal",234,329,0.898329340399649,0.0147355965125755,0.711246200607903,1.00349488628258
"75","ANCAT79","FamiliarCow","Animal",257,316,1.46504340755221,0.0206902178347067,0.813291139240506,1.12397822358184
"76","ANCAT80","FamiliarCow","Animal",160,211,1.13671213490038,0.0256480053231709,0.758293838862559,1.05682859861665
"77","ANCAT81","FamiliarCow","Animal",284,284,6.34388043412633,2.00351493848858,1,1.5707963267949
"78","ANCAT82","FamiliarCow","Animal",234,294,1.35481222284954,0.0207933179439285,0.795918367346939,1.1020659650531
"79","ANCAT84","FamiliarCow","Animal",307,331,2.52980196969589,0.0440683590509374,0.927492447129909,1.29815902036059
"80","ANCAT85","FamiliarCow","Animal",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"81","ANCAT86","FamiliarCow","Animal",273,329,1.57706098370964,0.0213554221740467,0.829787234042553,1.14552440421019
"82","ANCAT88","FamiliarCow","Animal",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"83","ANCAT90","FamiliarCow","Animal",128,319,-0.398958904285426,0.0130040332821977,0.401253918495298,0.685998645458242
"84","ANCAT91","FamiliarCow","Animal",38,329,-2.02438176449681,0.0294045577064445,0.115501519756839,0.346762870736559
"85","ANCAT18","FamiliarDog","Animal",126,235,0.14431775891102,0.0170375584312451,0.536170212765957,0.821599997967497
"86","ANCAT22","FamiliarDog","Animal",220,276,1.36165705673451,0.022234262436538,0.797101449275362,1.10353529053484
"87","ANCAT23","FamiliarDog","Animal",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"88","ANCAT26","FamiliarDog","Animal",168,189,2.0588828146588,0.0524463460078669,0.888888888888889,1.23095941734077
"89","ANCAT39","FamiliarDog","Animal",270,331,1.48123492347406,0.0199570202726057,0.81570996978852,1.12708965710136
"90","ANCAT45","FamiliarDog","Animal",226,226,6.11589212548303,2.00441501103753,1,1.5707963267949
"91","ANCAT50","FamiliarDog","Animal",210,210,6.04263283368238,2.00475059382423,1,1.5707963267949
"92","ANCAT55","FamiliarDog","Animal",330,330,6.49375383985169,2.00302571860817,1,1.5707963267949
"93","ANCAT58","FamiliarDog","Animal",245,329,1.06654541287145,0.015907639282228,0.74468085106383,1.04107700212056
"94","ANCAT59","FamiliarDog","Animal",189,316,0.396272659924,0.0131201821097832,0.598101265822785,0.884139997458306
"95","ANCAT60","FamiliarDog","Animal",239,329,0.97320356614509,0.0152250891013737,0.726443768996961,1.02039886587606
"96","ANCAT64","FamiliarDog","Animal",257,291,2.01006039606648,0.0328690023920079,0.883161512027491,1.22194722989381
"97","ANCAT72","FamiliarDog","Animal",222,312,0.899577250900414,0.015544105779378,0.711538461538462,1.00381738816688
"98","ANCAT74","FamiliarDog","Animal",242,329,1.01936291701397,0.0155522827687776,0.735562310030395,1.03068082719957
"99","ANCAT75","FamiliarDog","Animal",296,328,2.21080712910209,0.0341419120508497,0.902439024390244,1.25313313381264
"100","ANCAT76","FamiliarDog","Animal",218,218,6.07993319509559,2.0045766590389,1,1.5707963267949
"101","ANCAT77","FamiliarDog","Animal",304,322,2.80090035506567,0.0573381263036436,0.944099378881988,1.33210308304002
"102","ANCAT79","FamiliarDog","Animal",106,197,0.151806012868004,0.0203186331101362,0.538071065989848,0.82350611265042
"103","ANCAT80","FamiliarDog","Animal",174,325,0.141339116693058,0.0123313190917946,0.535384615384615,0.820812381581351
"104","ANCAT81","FamiliarDog","Animal",228,266,1.78087796904052,0.0303503935889056,0.857142857142857,1.18319964013972
"105","ANCAT82","FamiliarDog","Animal",88,170,0.0702042586732486,0.0234206471494607,0.517647058823529,0.803048888025466
"106","ANCAT84","FamiliarDog","Animal",225,323,0.82826361076469,0.0145868740644028,0.696594427244582,0.987446774394086
"107","ANCAT85","FamiliarDog","Animal",277,329,1.66500776358891,0.0226512226512227,0.841945288753799,1.16193915881066
"108","ANCAT86","FamiliarDog","Animal",180,180,5.88887795833288,2.00554016620499,1,1.5707963267949
"109","ANCAT88","FamiliarDog","Animal",281,328,1.77940273653915,0.0246050294475086,0.856707317073171,1.18257770504764
"110","ANCAT90","FamiliarDog","Animal",220,220,6.08904487544685,2.00453514739229,1,1.5707963267949
"111","ANCAT139","FamiliarHorse","Animal",125,148,1.67530533742173,0.0505213189794015,0.844594594594595,1.1655828886991
"112","ANCAT18","FamiliarHorse","Animal",166,166,5.80814248998044,2.00600600600601,1,1.5707963267949
"113","ANCAT22","FamiliarHorse","Animal",227,318,0.910811266109529,0.0153245661442383,0.713836477987421,1.00635658909587
"114","ANCAT23","FamiliarHorse","Animal",239,327,0.995550864837086,0.0154748003727162,0.730886850152905,1.02539507700612
"115","ANCAT26","FamiliarHorse","Animal",183,306,0.395973511426593,0.0135467572725568,0.598039215686274,0.884076718172634
"116","ANCAT39","FamiliarHorse","Animal",305,320,2.98110975468645,0.0677894514545167,0.953125,1.35256181242744
"117","ANCAT45","FamiliarHorse","Animal",163,325,0.00613498856751593,0.0122700541049165,0.501538461538461,0.786936627363473
"118","ANCAT50","FamiliarHorse","Animal",295,329,2.14770951280884,0.0323696020010299,0.896656534954407,1.24351401780306
"119","ANCAT53","FamiliarHorse","Animal",270,326,1.56603146013414,0.0213959727152275,0.828220858895706,1.14344424978583
"120","ANCAT55","FamiliarHorse","Animal",286,330,1.8622493469826,0.0259623115085201,0.866666666666667,1.19700415196039
"121","ANCAT58","FamiliarHorse","Animal",324,324,6.47543271670409,2.00308166409861,1,1.5707963267949
"122","ANCAT59","FamiliarHorse","Animal",164,294,0.231537343442678,0.0137418626046652,0.557823129251701,0.843350962878242
"123","ANCAT60","FamiliarHorse","Animal",149,321,-0.143100843640673,0.0124860646599777,0.46417445482866,0.749541893189845
"124","ANCAT64","FamiliarHorse","Animal",250,261,3.08111188515572,0.0909485377071943,0.957854406130268,1.36403231165492
"125","ANCAT69","FamiliarHorse","Animal",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"126","ANCAT72","FamiliarHorse","Animal",87,177,-0.0337110573423117,0.0224782951854775,0.491525423728814,0.776923181319885
"127","ANCAT74","FamiliarHorse","Animal",163,330,-0.0241703609278131,0.0120863572048017,0.493939393939394,0.779337408919167
"128","ANCAT75","FamiliarHorse","Animal",226,312,0.962600530985255,0.0159757046791461,0.724358974358974,1.01806328121321
"129","ANCAT76","FamiliarHorse","Animal",95,254,-0.512917674738215,0.0167407966649707,0.374015748031496,0.658041237117104
"130","ANCAT77","FamiliarHorse","Animal",143,293,-0.0476280489892546,0.0136131593874078,0.488054607508532,0.773451634269519
"131","ANCAT79","FamiliarHorse","Animal",150,290,0.06875559541513,0.0137619559948452,0.517241379310345,0.802642961378288
"132","ANCAT80","FamiliarHorse","Animal",124,155,1.37431817007318,0.039778160260088,0.8,1.10714871779409
"133","ANCAT81","FamiliarHorse","Animal",202,248,1.47128757395328,0.0264436479490243,0.814516129032258,1.1255520164147
"134","ANCAT82","FamiliarHorse","Animal",279,329,1.71102895631384,0.0233797977293257,0.848024316109423,1.17033784855086
"135","ANCAT84","FamiliarHorse","Animal",280,330,1.71460038868144,0.0233670425866116,0.848484848484849,1.17097966284468
"136","ANCAT85","FamiliarHorse","Animal",191,289,0.664831260442658,0.0153742163788419,0.660899653979239,0.949212797894026
"137","ANCAT88","FamiliarHorse","Animal",160,178,2.16052321048579,0.0602845836490696,0.898876404494382,1.24717776149091
"138","ANCAT90","FamiliarHorse","Animal",301,301,6.40191719672719,2.00331674958541,1,1.5707963267949
"139","ANCAT91","FamiliarHorse","Animal",256,292,1.94981640402238,0.0312958957515554,0.876712328767123,1.21202565652432
"140","ANCAT139","FamiliarSpoon","Artefact",83,162,0.0490896101965236,0.0245546642563929,0.512345679012346,0.797745097205024
"141","ANCAT18","FamiliarSpoon","Artefact",65,236,-0.962533123964788,0.0210980793626065,0.275423728813559,0.552489865731075
"142","ANCAT22","FamiliarSpoon","Artefact",98,324,-0.832688396745045,0.014567295301487,0.302469135802469,0.582330641180254
"143","ANCAT23","FamiliarSpoon","Artefact",206,301,0.771174164914403,0.0153138192005882,0.684385382059801,0.974241279489442
"144","ANCAT26","FamiliarSpoon","Artefact",124,293,-0.308547210915743,0.0139318335288055,0.42320819112628,0.708301211058257
"145","ANCAT39","FamiliarSpoon","Artefact",52,326,-1.65413809135201,0.0226906062971637,0.159509202453988,0.410847049767389
"146","ANCAT45","FamiliarSpoon","Artefact",199,328,0.432133355190326,0.0127345390503285,0.606707317073171,0.89293255847127
"147","ANCAT50","FamiliarSpoon","Artefact",229,319,0.930553178794719,0.0154070222318516,0.717868338557994,1.01082645211623
"148","ANCAT53","FamiliarSpoon","Artefact",230,303,1.14296545621791,0.017943836970797,0.759075907590759,1.05774248470402
"149","ANCAT55","FamiliarSpoon","Artefact",185,328,0.256719846847814,0.0123594766944974,0.564024390243902,0.849598819878033
"150","ANCAT58","FamiliarSpoon","Artefact",74,321,-1.20061145662323,0.0174632228323503,0.230529595015576,0.500808578084949
"151","ANCAT59","FamiliarSpoon","Artefact",143,316,-0.189842564187238,0.0127323298757895,0.45253164556962,0.737858212992248
"152","ANCAT60","FamiliarSpoon","Artefact",262,328,1.37304913436987,0.0188471177944862,0.798780487804878,1.10562606405117
"153","ANCAT64","FamiliarSpoon","Artefact",91,290,-0.779475264048443,0.0159414930769547,0.313793103448276,0.594593888019813
"154","ANCAT69","FamiliarSpoon","Artefact",68,300,-1.22205647975923,0.0188996154148026,0.226666666666667,0.496209048396846
"155","ANCAT72","FamiliarSpoon","Artefact",146,324,-0.197563172762572,0.0124281794629114,0.450617283950617,0.735934808011023
"156","ANCAT74","FamiliarSpoon","Artefact",151,315,-0.0823249452560027,0.0126796874216297,0.479365079365079,0.764757380703055
"157","ANCAT75","FamiliarSpoon","Artefact",209,316,0.667232891794475,0.0140755952711328,0.661392405063291,0.949733324140361
"158","ANCAT76","FamiliarSpoon","Artefact",22,277,-2.42970710043338,0.0483583387692977,0.0794223826714801,0.285690228235304
"159","ANCAT77","FamiliarSpoon","Artefact",105,300,-0.616849426509299,0.0145937624998485,0.35,0.633051836389749
"160","ANCAT79","FamiliarSpoon","Artefact",189,281,0.717180380004101,0.0160878556656921,0.672597864768683,0.961621826391746
"161","ANCAT80","FamiliarSpoon","Artefact",94,238,-0.42467967305279,0.0175024258069241,0.394957983193277,0.679567708029946
"162","ANCAT81","FamiliarSpoon","Artefact",158,298,0.120547104543535,0.0134265859874042,0.530201342281879,0.81561790075059
"163","ANCAT82","FamiliarSpoon","Artefact",177,284,0.501479761347753,0.0149361283982968,0.623239436619718,0.909920837790943
"164","ANCAT84","FamiliarSpoon","Artefact",172,329,0.0909717782057268,0.0121463077984817,0.522796352583587,0.808202421154329
"165","ANCAT85","FamiliarSpoon","Artefact",35,328,-2.11234494278678,0.0315761691100607,0.106707317073171,0.332768455525168
"166","ANCAT86","FamiliarSpoon","Artefact",99,306,-0.734973695506206,0.0148695283647151,0.323529411764706,0.605041803215686
"167","ANCAT88","FamiliarSpoon","Artefact",191,329,0.324017482993308,0.0124421487213807,0.580547112462006,0.866297792682885
"168","ANCAT90","FamiliarSpoon","Artefact",62,321,-1.42359014586359,0.0198535645472062,0.193146417445483,0.455024435379424
"169","ANCAT91","FamiliarSpoon","Artefact",139,244,0.279353648345299,0.016647131767144,0.569672131147541,0.855297756245061
